source_file,interval_start,interval_end,week_label,week_number,area_name,area_code,forecast_min_mw,actual_min_mw,actual_max_mw,forecast_max_mw,data_year,created_at,year,month,quarter,week_of_year,season,is_winter,is_spring,is_summer,is_autumn,week_sin,week_cos,error_min_mw,error_max_mw,abs_error_min_mw,abs_error_max_mw,actual_min_mw_lag_1,actual_min_mw_lag_2,actual_min_mw_lag_3,actual_min_mw_lag_4,actual_max_mw_lag_1,actual_max_mw_lag_2,actual_max_mw_lag_3,actual_max_mw_lag_4,forecast_min_mw_lag_1,forecast_min_mw_lag_2,forecast_min_mw_lag_3,forecast_min_mw_lag_4,forecast_max_mw_lag_1,forecast_max_mw_lag_2,forecast_max_mw_lag_3,forecast_max_mw_lag_4,actual_min_mw_roll_mean_3,actual_min_mw_roll_std_3,actual_min_mw_roll_mean_4,actual_min_mw_roll_std_4,actual_min_mw_roll_mean_8,actual_min_mw_roll_std_8,actual_max_mw_roll_mean_3,actual_max_mw_roll_std_3,actual_max_mw_roll_mean_4,actual_max_mw_roll_std_4,actual_max_mw_roll_mean_8,actual_max_mw_roll_std_8,forecast_min_mw_roll_mean_3,forecast_min_mw_roll_std_3,forecast_min_mw_roll_mean_4,forecast_min_mw_roll_std_4,forecast_min_mw_roll_mean_8,forecast_min_mw_roll_std_8,forecast_max_mw_roll_mean_3,forecast_max_mw_roll_std_3,forecast_max_mw_roll_mean_4,forecast_max_mw_roll_std_4,forecast_max_mw_roll_mean_8,forecast_max_mw_roll_std_8,actual_min_mw_diff_1,actual_min_mw_pct_change_1,actual_max_mw_diff_1,actual_max_mw_pct_change_1,forecast_min_mw_diff_1,forecast_min_mw_pct_change_1,forecast_max_mw_diff_1,forecast_max_mw_pct_change_1,range_actual_mw,range_forecast_mw,range_actual_diff_1,range_forecast_diff_1
GUI_TOTAL_LOAD_YEARAHEAD_202012312300-202112312300.csv,2021-01-04,2022-01-03,Week 16,16,Poland,PL,10631.4,14155.59,24344.8,24200.0,2022,2026-07-06 20:09:35,2022,1,1,16,winter,1,0,0,0,0.9350162426854148,-0.35460488704253545,3524.1900000000005,144.79999999999927,3524.1900000000005,144.79999999999927,12586.85,12989.36,14812.58,15406.14,23816.63,23418.39,24393.33,24776.6,12702.0,13193.9,13634.5,14480.0,24200.0,26600.0,26600.0,26600.0,13462.93,1186.0311618587311,13948.732500000002,1371.7857779642507,14481.977499999999,1084.3899922174828,23876.11666666667,490.1846575865123,24101.237500000003,602.4158785741523,24543.4075,902.733180620319,13176.799999999997,466.4851230210946,13502.599999999999,754.7547990351983,14009.037499999999,736.7292368250882,25800.0,1385.6406460551018,26000.0,1200.0,26450.0,948.6832980505146,1568.7399999999998,0.12463324819156507,528.1699999999983,0.022176521195483856,-2070.6000000000004,-0.16301369863013704,0.0,0.0,10189.21,13568.6,-1040.5700000000015,2070.6000000000004
GUI_TOTAL_LOAD_YEARAHEAD_202012312300-202112312300.csv,2021-01-04,2022-01-03,Week 17,17,Poland,PL,12240.3,13754.1,22592.43,24200.0,2022,2026-07-06 20:09:35,2022,1,1,17,winter,1,0,0,0,0.8854560256532099,-0.4647231720437685,1513.800000000001,-1607.5699999999997,1513.800000000001,1607.5699999999997,14155.59,12586.85,12989.36,14812.58,24344.8,23816.63,23418.39,24393.33,10631.4,12702.0,13193.9,13634.5,24200.0,24200.0,26600.0,26600.0,13243.933333333334,814.7649866270076,13636.095000000001,1028.4572978495416,14317.66,1010.331847676087,23859.94,464.7210874275795,23993.2875,463.7923555769401,24278.375,461.2481773250939,12175.766666666665,1359.8870185913788,12540.449999999999,1328.4718802694595,13507.6,1351.9576631156617,25000.0,1385.6406460551018,25400.0,1385.6406460551018,26075.0,1175.6457192295893,-401.4899999999998,-0.0283626468412832,-1752.369999999999,-0.07198128553120164,1608.8999999999996,0.1513347254359727,0.0,0.0,8838.33,11959.7,-1350.8799999999992,-1608.8999999999996
GUI_TOTAL_LOAD_YEARAHEAD_202012312300-202112312300.csv,2021-01-04,2022-01-03,Week 18,18,Poland,PL,11624.7,12683.14,22568.93,24800.0,2022,2026-07-06 20:09:35,2022,1,1,18,winter,1,0,0,0,0.8229838658936565,-0.5680647467311557,1058.4399999999987,-2231.0699999999997,1058.4399999999987,2231.0699999999997,13754.1,14155.59,12586.85,12989.36,22592.43,24344.8,23816.63,23418.39,12240.3,10631.4,12702.0,13193.9,24200.0,24200.0,24200.0,26600.0,13498.846666666666,814.9245333362499,13371.475,712.4807570968567,14181.0275,1002.3739821151753,23584.62,898.9280473429926,23543.0625,738.662660550555,24066.755,753.4061990339964,11857.9,1086.9767292817355,12191.9,1110.8118382516502,13241.0625,1367.1666759475402,24200.0,0.0,24800.0,1200.0,25700.0,1242.118006816238,-1070.960000000001,-0.07786478213768988,-23.5,-0.0010401714202500356,-615.5999999999985,-0.050292884978309194,600.0,0.024793388429751984,9885.79,13175.3,1047.460000000001,1215.5999999999985
GUI_TOTAL_LOAD_YEARAHEAD_202012312300-202112312300.csv,2021-01-04,2022-01-03,Week 19,19,Poland,PL,11135.1,12884.65,22690.43,24800.0,2022,2026-07-06 20:09:35,2022,1,1,19,winter,1,0,0,0,0.7485107481711013,-0.663122658240795,1749.5499999999993,-2109.5699999999997,1749.5499999999993,2109.5699999999997,12683.14,13754.1,14155.59,12586.85,22568.93,22592.43,24344.8,23816.63,11624.7,12240.3,10631.4,12702.0,24800.0,24200.0,24200.0,24200.0,13530.943333333335,761.1678028091472,13294.92,780.4351381547622,13890.9575,1064.1581032742702,23168.72,1018.5829309879035,23330.6975,892.5362552253176,23836.5775,900.389999607305,11498.800000000001,811.8053399676693,11799.599999999999,895.1393746227534,12874.975,1357.637159342874,24400.0,346.41016151377545,24350.0,300.0,25475.0,1218.6057606953946,201.51000000000022,0.015888021420563003,121.5,0.005383507326222281,-489.60000000000036,-0.042117215928152985,0.0,0.0,9805.78,13664.9,-80.01000000000022,489.60000000000036
GUI_TOTAL_LOAD_YEARAHEAD_202012312300-202112312300.csv,2021-01-04,2022-01-03,Week 20,20,Poland,PL,11460.0,12716.68,22349.11,24800.0,2022,2026-07-06 20:09:35,2022,1,1,20,winter,1,0,0,0,0.6631226582407952,-0.7485107481711012,1256.6800000000003,-2450.8899999999994,1256.6800000000003,2450.8899999999994,12884.65,12683.14,13754.1,14155.59,22690.43,22568.93,22592.43,24344.8,11135.1,11624.7,12240.3,10631.4,24800.0,24800.0,24200.0,24200.0,13107.296666666667,569.1374913264021,13369.37,700.4817753041906,13659.05125,1054.8347620963168,22617.263333333332,64.44442049762475,23049.147500000003,865.3695487429897,23575.1925,890.352640903737,11666.699999999999,553.795774631786,11407.875,687.3291514987692,12455.2375,1303.9486273157338,24600.0,346.41016151377545,24500.0,346.41016151377545,25250.0,1145.1762185046337,-167.96999999999935,-0.013036442588661656,-341.3199999999997,-0.015042465039225794,324.89999999999964,0.0291780046878789,0.0,0.0,9632.43,13340.0,-173.35000000000036,-324.89999999999964
GUI_TOTAL_LOAD_YEARAHEAD_202012312300-202112312300.csv,2021-01-04,2022-01-03,Week 21,21,Poland,PL,11641.5,12595.84,22315.93,24800.0,2022,2026-07-06 20:09:35,2022,1,1,21,winter,1,0,0,0,0.5680647467311558,-0.8229838658936564,954.3400000000001,-2484.0699999999997,954.3400000000001,2484.0699999999997,12716.68,12884.65,12683.14,13754.1,22349.11,22690.43,22568.93,22592.43,11460.0,11135.1,11624.7,12240.3,24800.0,24800.0,24800.0,24200.0,12761.49,107.970005557011,13009.6425,504.0737390749204,13322.86875,821.177700734706,22536.156666666666,173.0040581410722,22550.225000000002,144.03220045069887,23271.756250000002,834.3007876049105,11406.6,249.1299058724664,11615.025000000001,463.833011438401,12077.7375,1045.5865516370702,24800.0,0.0,24650.0,300.0,25025.0,1011.0108096073247,-120.84000000000015,-0.009502480207098096,-33.18000000000029,-0.0014846228776000947,181.5,0.015837696335078588,0.0,0.0,9720.09,13158.5,87.65999999999985,-181.5
GUI_TOTAL_LOAD_YEARAHEAD_202012312300-202112312300.csv,2021-01-04,2022-01-03,Week 22,22,Poland,PL,11851.9,12723.8,22471.99,24800.0,2022,2026-07-06 20:09:35,2022,1,1,22,winter,1,0,0,0,0.46472317204376906,-0.8854560256532096,871.8999999999996,-2328.0099999999984,871.8999999999996,2328.0099999999984,12595.84,12716.68,12884.65,12683.14,22315.93,22349.11,22690.43,22568.93,11641.5,11460.0,11135.1,11624.7,24800.0,24800.0,24800.0,24800.0,12732.39,145.04450041273935,12720.0775,120.96140717173556,13045.776249999999,587.4179431798568,22451.823333333334,207.30432733854113,22481.1,179.10485457781638,23012.08125,754.8539998746334,11412.199999999999,256.5616300229316,11465.325,234.886445969148,11828.6125,838.6252533377038,24800.0,0.0,24800.0,0.0,24800.0,785.5844048495733,127.95999999999913,0.010158909608251498,156.0600000000013,0.006993210679546058,210.39999999999964,0.018073272344629077,0.0,0.0,9748.190000000002,12948.1,28.100000000002183,-210.39999999999964
GUI_TOTAL_LOAD_YEARAHEAD_202012312300-202112312300.csv,2021-01-04,2022-01-03,Week 23,23,Poland,PL,11698.9,12240.39,21599.64,25200.0,2022,2026-07-06 20:09:35,2022,1,1,23,winter,1,0,0,0,0.35460488704253584,-0.9350162426854147,541.4899999999998,-3600.3600000000006,541.4899999999998,3600.3600000000006,12723.8,12595.84,12716.68,12884.65,22471.99,22315.93,22349.11,22690.43,11851.9,11641.5,11460.0,11135.1,24800.0,24800.0,24800.0,24800.0,12678.773333333333,71.91054813666116,12730.2425,118.50619572396434,13012.58125,598.4610654345713,22379.01,82.21428343029271,22456.865,169.56335010847332,22893.78125,756.2392446354046,11651.133333333333,196.12751804209816,11522.125,303.6718664941108,11660.862500000001,636.3352731237221,24800.0,0.0,24800.0,0.0,24575.0,310.5295017040608,-483.40999999999985,-0.03799258083277013,-872.3500000000022,-0.0388194369969016,-153.0,-0.012909322555877067,400.0,0.016129032258064502,9359.25,13501.1,-388.9400000000023,553.0
GUI_TOTAL_LOAD_YEARAHEAD_202012312300-202112312300.csv,2021-01-04,2022-01-03,Week 24,24,Poland,PL,11746.1,12380.35,22609.0,25200.0,2022,2026-07-06 20:09:35,2022,1,1,24,winter,1,0,0,0,0.23931566428755768,-0.970941817426052,634.25,-2591.0,634.25,2591.0,12240.39,12723.8,12595.84,12716.68,21599.64,22471.99,22315.93,22349.11,11698.9,11851.9,11641.5,11460.0,25200.0,24800.0,24800.0,24800.0,12520.01,250.4674603615866,12569.1775,226.9193792773774,12969.27375,644.4396725381534,22129.186666666665,465.19182606029085,22184.1675,395.42448688090127,22616.6575,775.7075795638355,11730.766666666668,108.75961260206968,11663.074999999999,161.90866509655976,11535.475,481.9842046908195,24933.333333333332,230.94010767585084,24900.0,200.0,24700.0,338.0617018914081,139.96000000000095,0.011434276195448012,1009.3600000000006,0.046730408469770834,47.20000000000073,0.004034567352486196,0.0,0.0,10228.65,13453.9,869.3999999999996,-47.20000000000073
GUI_TOTAL_LOAD_YEARAHEAD_202012312300-202112312300.csv,2021-01-04,2022-01-03,Week 25,25,Poland,PL,11629.7,13233.3,23170.15,25200.0,2022,2026-07-06 20:09:35,2022,1,1,25,winter,1,0,0,0,0.12053668025532308,-0.992708874098054,1603.5999999999985,-2029.8499999999985,1603.5999999999985,2029.8499999999985,12380.35,12240.39,12723.8,12595.84,22609.0,21599.64,22471.99,22315.93,11746.1,11698.9,11851.9,11641.5,25200.0,25200.0,24800.0,24800.0,12448.18,248.7408062622282,12485.095,216.09919335024932,12747.368750000001,455.54798193064437,22226.876666666667,547.5055360754824,22249.14,449.24844507245695,22399.682500000003,348.26358551070575,11765.633333333333,78.3480269908036,11734.6,89.13218647987433,11674.8125,315.74247841965223,25066.666666666668,230.94010767585084,25000.0,230.94010767585056,24825.0,310.5295017040608,852.9499999999989,0.06889546741408759,561.1500000000015,0.024819762041664806,-116.39999999999964,-0.009909672146499626,0.0,0.0,9936.850000000002,13570.3,-291.79999999999745,116.39999999999964
GUI_TOTAL_LOAD_YEARAHEAD_202012312300-202112312300.csv,2021-01-04,2022-01-03,Week 26,26,Poland,PL,12203.8,13043.06,23807.29,25200.0,2022,2026-07-06 20:09:35,2022,1,1,26,winter,1,0,0,0,-3.216245299353273e-16,-1.0,839.2600000000002,-1392.7099999999991,839.2600000000002,1392.7099999999991,13233.3,12380.35,12240.39,12723.8,23170.15,22609.0,21599.64,22471.99,11629.7,11746.1,11698.9,11851.9,25200.0,25200.0,25200.0,24800.0,12618.013333333334,537.4294949417234,12644.46,441.98568536393975,12682.26875,302.69858579300075,22459.596666666668,795.8432207622844,22462.695,649.832814422301,22471.8975,441.38761633049876,11691.566666666666,58.5454808960757,11731.65,93.33672017673307,11598.487500000001,218.27511105748195,25200.0,0.0,25100.0,199.99999999999997,24950.0,207.0196678027085,-190.23999999999978,-0.014375854851019776,637.1399999999994,0.027498311404975828,574.0999999999985,0.04936498791886268,0.0,0.0,10764.230000000001,12996.2,827.3799999999992,-574.0999999999985
GUI_TOTAL_LOAD_YEARAHEAD_202012312300-202112312300.csv,2021-01-04,2022-01-03,Week 27,27,Poland,PL,12043.8,13004.44,23555.03,25200.0,2022,2026-07-06 20:09:35,2022,1,1,27,winter,1,0,0,0,-0.12053668025532283,-0.992708874098054,960.6400000000012,-1644.9700000000012,960.6400000000012,1644.9700000000012,13043.06,13233.3,12380.35,12240.39,23807.29,23170.15,22609.0,21599.64,12203.8,11629.7,11746.1,11698.9,25200.0,25200.0,25200.0,25200.0,12885.57,447.7535602314981,12724.275,487.5651839155797,12727.25875,328.49479297625265,23195.48,599.5464433218692,22796.52,936.1162418204226,22626.6925,648.7270041891381,11859.866666666667,303.4877976679628,11819.625,260.53943239622816,11670.875,306.43216331563355,25200.0,0.0,25200.0,0.0,25000.0,213.80899352994157,-38.61999999999898,-0.002960961614835722,-252.26000000000204,-0.010595914108661786,-160.0,-0.013110670446909944,0.0,0.0,10550.589999999998,13156.2,-213.64000000000306,160.0
GUI_TOTAL_LOAD_YEARAHEAD_202012312300-202112312300.csv,2021-01-04,2022-01-03,Week 28,28,Poland,PL,12029.7,13079.71,23971.8,24700.0,2022,2026-07-06 20:09:35,2022,1,1,28,winter,1,0,0,0,-0.23931566428755743,-0.9709418174260521,1050.0099999999984,-728.2000000000007,1050.0099999999984,728.2000000000007,13004.44,13043.06,13233.3,12380.35,23555.03,23807.29,23170.15,22609.0,12043.8,12203.8,11629.7,11746.1,25200.0,25200.0,25200.0,25200.0,13093.6,122.51507499072127,12915.2875,370.3890112997908,12742.2325,339.24823135660193,23510.823333333334,320.86214630775174,23285.3675,521.4943359471575,22734.7675,728.03389655678,11959.1,296.27397793261537,11905.85,264.31249812803225,11784.4625,240.86331000622897,25200.0,0.0,25200.0,0.0,25050.0,207.0196678027085,75.26999999999862,0.005788023167471845,416.77000000000044,0.01769346080221501,-14.099999999998545,-0.0011707268470082521,-500.0,-0.019841269841269882,10892.09,12670.3,341.5000000000018,-485.90000000000146
GUI_TOTAL_LOAD_YEARAHEAD_202012312300-202112312300.csv,2021-01-04,2022-01-03,Week 29,29,Poland,PL,11799.4,13383.11,24316.08,24700.0,2022,2026-07-06 20:09:35,2022,1,1,29,winter,1,0,0,0,-0.3546048870425356,-0.9350162426854148,1583.710000000001,-383.91999999999825,1583.710000000001,383.91999999999825,13079.71,13004.44,13043.06,13233.3,23971.8,23555.03,23807.29,23170.15,12029.7,12043.8,12203.8,11629.7,24700.0,25200.0,25200.0,25200.0,13042.403333333334,37.639296397721154,13090.1275,100.27393525557822,12787.61125,359.04433122379106,23778.039999999997,209.91898461042163,23626.0675,348.9410882822715,22937.60375,824.8472435190747,12092.433333333332,96.70368831305143,11976.75,244.46868238422755,11855.675000000001,213.94314832286648,25033.333333333332,288.67513459481233,25075.0,250.0,25037.5,226.3846284534375,303.40000000000146,0.023196232944002748,344.2800000000025,0.014361875203364072,-230.3000000000011,-0.019144284562374825,0.0,0.0,10932.970000000001,12900.6,40.88000000000102,230.3000000000011
GUI_TOTAL_LOAD_YEARAHEAD_202012312300-202112312300.csv,2021-01-04,2022-01-03,Week 30,30,Poland,PL,11854.6,13104.9,22848.34,24700.0,2022,2026-07-06 20:09:35,2022,1,1,30,winter,1,0,0,0,-0.46472317204376806,-0.8854560256532101,1250.2999999999993,-1851.6599999999999,1250.2999999999993,1851.6599999999999,13383.11,13079.71,13004.44,13043.06,24316.08,23971.8,23555.03,23807.29,11799.4,12029.7,12043.8,12203.8,24700.0,24700.0,25200.0,25200.0,13155.753333333334,200.46117737186788,13127.58,173.1032522320343,12886.02,404.04351158897896,23947.63666666667,381.09995491103956,23912.55,318.98131679865173,23187.6225,908.3937427876048,11957.633333333333,137.21531741518498,12019.175,166.4377836710967,11875.4125,198.05521912194848,24866.666666666668,288.67513459481233,24950.0,288.6751345948126,25025.0,243.48657927227782,-278.21000000000095,-0.02078814266639073,-1467.7400000000016,-0.06036088053666555,55.20000000000073,0.0046782039764734495,0.0,0.0,9743.44,12845.4,-1189.5300000000007,-55.20000000000073
